question,answer
What type of tree did he climb described as a grey-green sentinel?,sentinel
What substance made his hands sticky during ascent?,sap
Where did he place the dirk to keep hands free for climbing?,teeth
What specific bird sound answered the woods' rustling?,snow owl
Who emerged silently without making any audible noise?,The Others
What color was first mentioned for the Other's shifting armor?,white
What material was the Other's sword explicitly compared to?,crystal
What two words did Ser Waymar shout before his final attack?,For Robert
What happened to Royce's steel sword upon contact with the pale blade?,shattered
What color burned in Royce's pupil after his body was found?,blue
