sample_id,prompt_set,question_id,prompt,r_on,r_off,r_base
0,forget_logprob,0,Fudge represented the institution called the ___.,0.4068872630596161,0.00018296643975190818,0.4068872630596161
0,forget_logprob,0,The Minister of Magic's full name was ___.,7.1706153903505765e-06,1.4347352589538787e-05,0.4171484112739563
0,forget_logprob,1,"According to Fudge, the fugitive was meeting up with 'You-____-Who.'",6.627558502003694e-09,1.1426554920035414e-06,0.692279040813446
0,forget_logprob,2,"Harry Potter's godfather, who was revealed to have been framed, is ________.",0.0001863547950051725,2.323598528164439e-05,0.5862098336219788
0,forget_logprob,2,Fudge's former position within the wizarding world was the ________.,0.42220455408096313,0.00019002577755600214,0.6253516674041748
0,forget_logprob,3,Who is the highly trained Auror assigned to protect the Prime Minister? ,0.00019064111984334886,6.79420045344159e-05,0.31706997752189636
0,forget_logprob,4,The sister of Narcissa who followed her through the rusty railings was ______.,2.517413349778508e-06,6.288535701060027e-07,0.11769851297140121
0,forget_logprob,5,"Whom did Snape claim had been attempting to steal the Sorcerer's Stone, requiring his sabotage?",1.641100055849165e-08,3.422858981139143e-06,0.0070148976519703865
0,forget_logprob,6,Snape admits Dumbledore's protection kept him out of ______.,1.704884198261425e-05,2.7965484150627162e-06,0.4898747205734253
0,forget_logprob,7,The vow Snape made in case Draco failed was called the ________.,1.315960048486886e-06,6.806837063777493e-06,0.7664704918861389
0,forget_logprob,7,The name of Narcissa and Bellatrix's sister not in the vow scene is ________.,7.017693860689178e-06,3.3197641187143745e-06,0.6883144378662109
0,forget_logprob,7,The name of the owl in Harry's room is ________.,7.58977112127468e-05,6.943509652046487e-05,0.7516431212425232
0,forget_logprob,7,The term used for Harry Potter in Ministry speculation is 'the ________'.,9.318401339442062e-07,8.3572758740047e-06,0.6641573905944824
0,forget_logprob,7,The previous Minister of Magic before Rufus Scrimgeour was ________.,7.106709745130502e-06,3.1495965231442824e-05,0.46460995078086853
0,forget_logprob,8,Hedwig's cage is shut as Harry notices darkness outside called what? 'Sudden ______'.,0.0019130123546347022,0.010690337978303432,0.30584916472435
0,forget_logprob,8,What is the full name of the Hogwarts headmaster? Albus ______.,5.6978519751282874e-06,6.628573828493245e-06,0.6664525270462036
0,forget_logprob,8,Uncle Vernon is wearing a puce dressing ______.,0.10698530822992325,0.0017372015863656998,0.3832704722881317
0,forget_logprob,8,What is the name of the Dursley's son? ______.,0.00014138684491626918,0.00025883683701977134,0.46584898233413696
0,forget_logprob,8,The Wizarding community is under threat from an organization calling itself the ______.,3.555453076842241e-05,8.160527613654267e-06,0.6497141122817993
0,forget_logprob,8,Dumbledore asks Harry to send his answer by return of this ______.,4.9736663640942425e-06,1.7797485725168372e-06,0.9626263380050659
0,forget_logprob,9,"Harry inherited Sirius's home at number twelve, ___ Place.",1.400620419644838e-07,3.4245797451148974e-06,0.6149709224700928
