question,answer
What is the sigil of House Stark?,"direwolf"
What did Theon Greyjoy draw when he approached the pups?,"sword"
What did Father toss aside after removing it from the direwolf’s body?,"antler"
What specific phrase does Father use to describe the preferred method of ending the pups’ lives?,"swift death"
What term does Jory use to describe the pup when he first sees it?,"freak"
What detail does Robb point out about the direwolf’s cause of death?,"shattered antler"
What substance had formed in the direwolf’s fur before it was found?,"ice"
Who is explicitly referred to as the master of horse in this passage?,"Hullen"
What does Jon say he is not when explaining why he cannot take a pup?,"a Stark"
What does Robb plan to soak for the pup’s nourishment?,"towel"
