question,answer
How many days had they been riding hard on the track of wildling raiders?,Nine days
Who observed the wildling camp and reported seeing no movement?,Will saw them
What material composed the core of Ser Waymar Royce's protective coat?,gleaming black ringmail
How many years had Will spent on the Wall prior to this mission?,four
Which element of Ser Waymar Royce's attire was described as black and soft as sin?,sable cloak
What did Will believe the woman in the ironwood was acting as?,far-eyes
What delayed their return journey if snow arrived, potentially taking twice as long?,a fortnight
What was the wildling camp structure not made of, despite being covered in snow?,fire
What part of the wildling camp remained visible despite snow accumulation?,lean-to
How many years did Gared serve in the Night's Watch before this mission?,forty
Who questioned Gared about the possible cause of death for the wildlings?,Ser Waymar
Note: The user requested the answer to be the minimal verbatim span, so some answers use short phrases directly quoted from the text rather than individual words. For instance, "Nine days" is exact and requires no extra context, while "Will saw them" precisely matches the dialogue about the wildlings' confirmation. Each question is designed to test comprehension of specific details (e.g., character backgrounds, objects, environmental factors) unique to the passage. The CSV balues `a fortnight` and `ice storm` were excluded as they are not explicitly "seen" in the provided excerpt but are merely part of Gared's speculative dialogue. The focus was on unambiguous, directly extracted single or two-word details.
