question,answer
Who mentions having lost body parts?,"Gared"
What specific body part does Gared mention losing besides his ears?,"little finger"
What does Will note is missing from the campsite?,"All the bodies"
What does Royce insist they forgo despite Gared's warnings?,"fire"
What weapon does Royce draw?,"longsword"
What type of tree does Will dismount under?,"ironwood"
What is Will's profession?,"rider"
What color is the destrier in the excerpt?,"black"
What does Royce command Will to do upon discovering the missing bodies?,"lead"
Which structure is mentioned as the destination for Royce?,"Castle Black"
