question,answer
What is the name of the sword used for the beheading?,Ice
What was the man accused of besides deserting the Night's Watch?,oathbreaker
What feature of the wildling's body was missing due to frostbite?,both ears and a finger
What was the title of Bran's brother Robb when addressing the culprit?,sword sworn
What color was the banner's background representing Winterfell's Starks?,ice-white
Who supported the banner of the Starks in the text?,Theon Greyjoy
What relation does Jon have to Bran that differs from other brothers?,bastard brother
How many knights were executed before Bran witnessed this beheading?,twenty
What metaphor did Old Nan use to associate the wildlings' drink with blood?,polished horns
What did Bran's father believe flowed in Stark blood to justify execution tradition?,blood of the First Men
What animal appears on the Stark family banner?,direwolf
What phrase describes the snow that soaked up the blood in the scene?,died bravely
What did Jon whisper to Bran to do with the pony during the beheading?,keep well in hand
What did Bran's father discard before holding the sword for the execution?,his fangs
What did Theon Greyjoy do with the executed man's head afterwards?,kicked it away
What was the full title of Bran's father as he rode before his sons?,Lord of Winterfell
What was Jon's demeanor compared to Robb during the ride after execution?,silent and intent
What did Eddard Stark order the guardsmen to do with the wildling before the sentence?,cut down from the wall
In what month was the scene set, implied by the cold morning air?,ninth year of summer
What did Jon insist the wildling lacked in his eyes during the execution?,courage
